Alghero, Italy AHO
Alicante, Spain ALC
Athens, Greece ATH
Baden-Baden, Germany FKB
Barcelona, Spain BCN
Bari, Italy BRI
Billund, Denmark BLL
Birmingham, UK BHX
Bologna, Italy BLQ
Bournemouth, UK BOH
Batislavia, Slovakia BTS
Bremen, Germany BRE
Brindisi, Italy BDS
Bristol, UK BRS
Brussels Charleroi, Belgium CRL
Brussels Zaventem, Belgium BRU
Budapest T2, Hungary BUD
Cagliari, Italy CAG
Catania, Italy CTA
Chania, Crete CHQ
Cologne, Germany CGN
Cork, Ireland ORK
Dublin, Ireland DUB
Düsseldorf Weeze, Germany NRN
East Midlands, UK EMA
Edinburgh, UK EDI
Eindhoven, Netherlands EIN
Faro, Portugal FAO
Fez, Morocco FEZ
Frankfurt Hahn, Germany HHN
Gdansk, Poland GDN
Girona Barcelona, Spain GRO
Glasgow Prestwick, UK PIK
Gran Canaria (Las Palmas), Spain LPA
Katowice, Poland KTW
Kaunas, Lithuania KUN
Krakow, Poland KRK
Lamezia, Italy SUF
Lanzarote, Spain ACE
Leeds bradford, UK LBA
Lisbon, Portugal LIS
London Luton, UK LTN
London Stansted, UK STN
Madrid, Spain MAD
Malaga, Spain AGP
Malta, Malta MLA
Manchester, UK MAN
Marrakesh, Morocco RAK
Marseilles, France MRS
Milan Bergamo, Italy BGY
Oslo Rygge, Norway RYG
Palermo, Italy PMO
Paphos, Cyprus PFO
Pescara, Italy PSR
Pisa, Italy PSA
Ponta Delgada, The Azores PDL
Porto, Portugal OPO
Poznan, Poland POZ
Rome Ciampino, Italy CIA
Rome Fumicino, Italy FCO
Seville, Spain SVQ
Shannon, Ireland SNN
Stockholm Skavsta, Sweden NYO
Tenerife South, Spain TFS
Trapani, Italy TPS
Valencia, Spain VLC
Warsaw Modlin, Poland WMI
Wroclaw, Poland WRO
Zadar, Croatia ZAD
